Channel ID,Channel Name,Subscriber Count,Average Views per Video,Engagement Rate,Total Score,Sentiment Score,Positive,Neutral,Negative,Sentiment Weighted Engagement
UC4xKdmAXFh4ACyhpiQ_3qBw,TechLead,1460000,723885.6216,0.031153682,217165.774,0.999675,0.250125,0.662375,0.087375,0.007792315
UCr6JcgG9eskEzL-k6TtL9EQ,ZONEofTECH,1580000,262989.22,0.022650662,78896.84046,0.994625,0.218,0.687375,0.09475,0.004937844
UCzLaQ6eeTVuAltzTrN7fzyg,The YouTube Tech Guy,409000,62719.22,0.019051576,18815.84105,0.9857,0.22475,0.684125,0.091125,0.004281842
UCu4hdd30_lYnx4AD-kUyRAg,TeckTutor Start L(e)arning,115000,6165.24,0.061256334,1849.733303,0.99685,0.456,0.532,0.012125,0.027932888
UCMUNHqVoOleBzcLP8AA1riA,Adarsh TechLover,358000,28997.76,0.048983784,8699.383519,0.8797625,0.11975,0.835125,0.045625,0.005865808
UCBJycsmduvYEL83R_U4JriQ,Marques Brownlee,19600000,5535694.42,0.037309317,1660708.405,0.9979875,0.21525,0.687125,0.09775,0.008030831
UCvHdYD2Qchr9RFJTgIPIuDw,Generation Tech,855000,120476.38,0.058153806,36142.98939,-0.4856375,0.17375,0.644,0.18225,0.010104224
UCggXQcy57bwxUeZI1LB8DCw,Tech Is The New Black,148000,1086.92,0.073988886,326.1851706,0.9995375,0.26525,0.66375,0.070875,0.019625552
UCSUf5_EPEfl4zlBKZHkZdmw,Danny Gonzalez,6790000,6937835.14,0.041623442,2081350.611,0.736144444,0.173333333,0.693777778,0.132777778,0.00721473
UCsBjURrPoezykLs9EqgamOA,Fireship,3410000,970653.62,0.04954511,291196.1615,0.483125,0.18575,0.695625,0.11825,0.009203004
UCClfFsWcT3N2I7VTXXyt84A,Salem Techsperts,1520000,1018542.52,0.076856035,305562.8489,0.8974875,0.20725,0.668875,0.123875,0.015928413
UCMiJRAwDNSNzuYeN2uWa0pA,Mrwhosetheboss,20000000,16485855.92,0.045664588,4945756.859,0.7470125,0.216375,0.66925,0.114,0.009880675
UCzqlzMvlYyWVxFcNMZYzE0g,Consumer Tech Review,211000,21997.66,0.025236321,6599.38332,0.9992625,0.25075,0.684625,0.06475,0.006328007
UCW6J17hZ_Vgr6cQgd_kHt5A,MobileTechReview,953000,125304.74,0.026070043,37591.50689,0.9861,0.2482,0.6735,0.0783,0.006470585
UCa8g_5cRhATCMNMI7xlLJzQ,Sulit Tech Reviews,780000,60757,0.023206544,18227.14318,-0.6499,0.113,0.775,0.112,0.002622339
UC-v54XQalOcx5yco3aTixrg,Chigz Tech Reviews,463000,150449.64,0.054704019,45134.99946,0.9990375,0.28525,0.652875,0.0615,0.015604321
UCBKhdILeDie8iLkap216g7g,In Depth Tech Reviews,168000,60792.84,0.037692268,18237.93024,0.9918,0.210555556,0.689888889,0.099333333,0.007936316
UCmsLliAW8DRsCMY-DU9-vAA,Jeffrey Bowens,113000,14773.6,0.021964856,4432.14745,0.617627273,0.195545455,0.725181818,0.079090909,0.004295128
UC9kGAFMDzda_bHkfrYcKmtQ,Trendy Tech Review Show,3990000,8405.74,0.020681106,2521.787647,0.973,0.19125,0.742,0.06675,0.003955262
UC8p5jRXm-dACHhbsbzyI6aQ,New Gadgets USA,1450000,6809.4,0.000138044,2042.903215,0.99464,0.2772,0.694,0.0286,3.83E-05
UC5fno9H5sK97fLg7RTdZpJg,Guns & Gadgets 2nd Amendment News,727000,90759.86,0.158704961,27228.06877,-0.4874875,0.157625,0.655875,0.1865,0.025015869
UCxdIhjg5Dv3hMRCnYkz6-Ew,Gadget Zone,1750000,7845.32,0.021962138,2353.67701,0.9919875,0.24075,0.713625,0.045625,0.005287385
UCpF_oqDZhRaRU04Igka17LQ,New Tech Gadget,1760000,13434.52,0.017827209,4030.363131,,,,,
UCq5fpn9Vtwd0YhNvgsozXCQ,Unismart Gadgets,170000,65377.94,0.015174232,19613.43224,0.839225,0.14725,0.81025,0.042625,0.002234406
UCK10ThBZnabhP3TQXc6XyIw,Future Tech Gadgets,171000,3874.66,0.016311109,1162.404524,,,,,
UCNDy4lRk4FIfufXtP5PaNQQ,New Gadgets Utensils,2210000,60566.56,0.00544624,18170.07195,0.9925875,0.33925,0.635125,0.02575,0.001847637
UCiqV1u9uguNNSAmEwMQ8T1A,Gadgets Compare,302000,24497.44,0.009328322,7349.286919,0.9850875,0.170625,0.755,0.074375,0.001591645
UCzFMf_-C5PsooDhLt4ujGMA,Ultimate Gadgets,277000,161468.34,0.024129436,48440.60949,0.998557143,0.326142857,0.655285714,0.018571429,0.007869643
UCK-H1e0S8jg-8qoqQ5N8jvw,Explore Gadgets,531000,8585.94,0.018513989,2575.880472,0.998955556,0.303555556,0.627666667,0.068777778,0.005620024
UCUuh2FAXecgF2cxXvgENqVw,Gadget Gig,357000,51497.32,0.027989029,15449.25846,0.6248125,0.170875,0.750875,0.078125,0.004782625
UCYGiWMEIKXL2EhIfPSUSmvg,ben's gadget reviews,257000,72456.82,0.03427117,21737.13512,0.99865,0.251375,0.66125,0.08725,0.008614915
UCHbcbgxdWJittda3pg0QK5g,China-Gadgets.de,196000,33234.14,0.021450232,9970.25058,,,,,
UCRV1icoIb9h9dsM97_Wx33w,Smart Gadgets Hub,222000,7643.42,0.051183894,2293.112624,0.9935,0.2205,0.74775,0.03175,0.011286049
UC3SdeibuuvF-ganJesKyDVQ,Gauging Gadgets,459000,7357.1,0.01154531,2207.223193,0.998625,0.29525,0.626875,0.078,0.003408753
UC01c0E7_TyzDVTVRB1uHpng,Eco Gadgets,397000,62927.6,0.004593215,18878.36952,0.990971429,0.292285714,0.652857143,0.054571429,0.001342531
UCIJsf5YCQmi6gN_uEcAH0ng,KL Cool Gadgets,2210000,4582169.1,0.025715843,1374650.74,,,,,
UCY4WJIEmfyI4H2u5PtTiwyg,Sports and Gadgets,596000,7964.1,0.028065946,2389.298939,0.3480375,0.192375,0.6405,0.167,0.005399186
UC-lOss13v6QhqkO9yfNVJEw,Jon Gadget,180000,177328.56,0.029925693,53198.65081,0.9995625,0.236125,0.685875,0.078,0.007066204
UC1oJWYYvOoFKxF5npN-OU3A,Tech Plus Gadgets,708000,596711.22,0.049138711,179013.4321,0.503716667,0.154666667,0.791833333,0.053333333,0.007600121
UCuqz7pQ9w_oDennTv_Xx-zg,Fox Gadget,129000,34614.54,0.011711841,10384.36668,,,,,
UC907FKT3iYOOTSbLaTdLNhg,China Gadgets,431000,12553.56,0.034414142,3766.081766,,,,,
